trip_id,device,lane,start_time,end_time,transporter
5bb0a44379fb522ef332db04,567,a,2018-09-30T10:24:03.869Z,2018-10-01T17:13:18.817Z,a
5bb0916579fb522ef332d5eb,129,b,2018-09-30T09:03:33.993Z,2018-10-01T21:22:16.465Z,b
5bb07ff179fb522ef332d1ae,512,c,2018-09-30T07:49:05.188Z,2018-10-03T09:56:07.099Z,c
5bafef9ba97c177c19d315ec,547,b,2018-09-29T21:33:15.085Z,2018-10-01T12:13:12.951Z,d
5bafdf23a97c177c19d31178,317,a,2018-09-29T20:22:59.169Z,2018-09-30T19:01:48.220Z,a
5bafd2d6f902bf63b36e6222,444,c,2018-09-29T19:30:30.834Z,2018-10-01T19:04:40.474Z,c
5baf5e0387e11b5b1ac692c9,574,b,2018-09-29T11:12:03.610Z,2018-10-01T05:15:17.744Z,b
5baf350787e11b5b1ac6899c,464,c,2018-09-29T08:17:11.209Z,2018-10-01T17:13:11.118Z,c
5baea84934046d43939d3985,548,b,2018-09-28T22:16:41.813Z,2018-09-30T10:48:48.945Z,d
5bae7c65a55029143aedf00b,375,a,2018-09-28T19:09:25.756Z,2018-09-29T20:58:44.056Z,a
5bae2391a2d54975170c3d79,502,b,2018-09-28T12:50:25.272Z,2018-09-30T01:48:42.996Z,d
5badee25a2d54975170c2de7,535,a,2018-09-28T09:02:29.119Z,2018-09-29T18:03:48.523Z,a
5baddaf88ec4635094c5825c,530,c,2018-09-28T07:40:40.492Z,2018-09-30T18:03:39.309Z,c
5bad83e7db367563edc7adcb,575,b,2018-09-28T01:29:11.062Z,2018-09-29T10:20:44.610Z,d
5bad1e45c3c4c701a1ce1ea7,564,a,2018-09-27T18:15:33.562Z,2018-09-28T23:52:07.509Z,a
5bacbe648e93e9129be73d79,128,b,2018-09-27T11:26:28.497Z,2018-09-29T00:53:03.892Z,b
5bac8a189d95d62846b672d4,440,c,2018-09-27T07:43:20.218Z,2018-09-30T18:03:26.022Z,c
5bac12d5fb707e3c5ad4079f,552,b,2018-09-26T23:14:29.017Z,2018-10-01T05:32:52.815Z,d
5babf571e4b0e7288b8f74fd,570,c,2018-09-26T21:09:05.073Z,2018-09-28T23:51:56.419Z,c
5babd098d3f038761b21ba0e,317,a,2018-09-26T18:31:52.126Z,2018-09-28T04:00:31.485Z,a
5bab7ecc61c83029de1eadf5,547,c,2018-09-26T12:42:52.724Z,2018-09-29T04:08:08.244Z,e
5bab705361c83029de1eaa60,583,b,2018-09-26T11:41:07.992Z,2018-09-27T23:44:07.230Z,b
5bab589a952f007b686a0f16,159,a,2018-09-26T09:59:54.859Z,2018-09-27T10:11:08.674Z,a
5baaa6fdccc8626083188201,205,b,2018-09-25T21:22:05.637Z,2018-09-27T09:17:48.171Z,d
5baa96e9ccc8626083187e16,548,c,2018-09-25T20:13:29.120Z,2018-09-27T19:11:36.847Z,c
5baa7cf0a25fba41a1fad333,572,a,2018-09-25T18:22:40.410Z,2018-09-27T10:10:59.974Z,a
5baa303f052c6b671e6320e7,528,c,2018-09-25T12:55:27.100Z,2018-09-28T05:14:00.279Z,e
5baa130f99f9a4472a87bf2c,592,a,2018-09-25T10:50:55.066Z,2018-09-28T05:15:19.423Z,a
5ba80013376af9376ac44ef1,502,b,2018-09-23T21:05:23.579Z,2018-09-25T10:02:15.225Z,d
5ba7f3c3376af9376ac449dd,550,c,2018-09-23T20:12:51.605Z,2018-09-26T05:11:31.083Z,c
5ba78e7ede2e97208fc7cf7e,141,b,2018-09-23T13:00:46.155Z,2018-09-25T00:39:22.297Z,b
5ba78c45de2e97208fc7ced3,566,c,2018-09-23T12:51:17.627Z,2018-09-26T05:11:59.227Z,e
5ba74874e88f2355b8411554,534,c,2018-09-23T08:01:56.176Z,2018-09-25T09:51:10.072Z,c
5ba6e9e5f5a8d463e76866b4,573,b,2018-09-23T01:18:29.870Z,2018-09-25T03:55:18.288Z,d
5ba68d26b8cc3b01e05bf78b,540,a,2018-09-22T18:42:46.184Z,2018-09-24T04:38:13.853Z,a
5ba6154543ca420770035b24,596,b,2018-09-22T10:11:17.178Z,2018-09-24T00:05:46.936Z,b
